Model,Accuracy,F1-Score,Precision,Recall
XGBoost,0.6646341463414634,0.46078431372549017,0.618421052631579,0.3671875
Random Forest,0.6600609756097561,0.4053333333333333,0.6386554621848739,0.296875
Decision Tree,0.6478658536585366,0.3565459610027855,0.6213592233009708,0.25
SVM,0.6234756097560976,0.4188235294117647,0.5266272189349113,0.34765625
KNN,0.6204268292682927,0.3851851851851852,0.5234899328859061,0.3046875
Logistic Regression,0.6097560975609756,0.0,0.0,0.0
